method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
NC;442;0.02670072352202401;1;92059;61508
SBD;443;0.18824943612845071;0;94580;62637
P-ES;444;0.09600433837548548;0;91307;60376
P-MRO;445;0.020041685081067146;0;89221;60426
QACM;446;0.08765342520099814;0;97060;62971
NC;642;0.028874180381202506;0;91539;60640
SBD;643;0.19820166919188237;0;90207;59637
P-ES;644;0.08776299341635671;0;98695;64923
P-MRO;645;0.021231728825005885;0;92693;61548
QACM;646;0.10566184602654344;0;98397;65759
NC;1142;0.02719602209503888;0;94209;63130
SBD;1143;0.22215251639234956;0;85888;56584
P-ES;1144;0.0947515283561605;1;88540;58708
P-MRO;1145;0.021285572858617693;0;102428;66576
QACM;1146;0.0901089525160396;0;98811;63546
NC;742;0.025085072681618394;1;91684;61644
SBD;743;0.19368758807625633;0;88973;59747
P-ES;744;0.09119337371222971;0;89385;61206
P-MRO;745;0.025278818911571667;0;89246;60497
QACM;746;0.09117215498398766;1;102961;67620
NC;242;0.026694948277997302;1;82888;57018
SBD;243;0.20278430005560807;0;98093;66081
P-ES;244;0.10063930928701856;0;85683;58473
P-MRO;245;0.019816924170946985;0;107199;69975
QACM;246;0.09249382417291743;0;87434;59185
NC;842;0.028454498753889966;0;97309;64590
SBD;843;0.2154141266693635;0;95690;64015
P-ES;844;0.09994754528925757;0;88160;57269
P-MRO;845;0.022498444739348405;0;105324;68022
QACM;846;0.09188047452093498;0;92405;61573
NC;342;0.023506564598309923;1;87428;57461
SBD;343;0.21682094309937752;0;91538;61133
P-ES;344;0.09260841342530561;0;92229;62610
P-MRO;345;0.02230068070488912;0;92754;62541
QACM;346;0.09423622562100924;0;92180;61684
NC;42;0.027273691408593342;1;98345;65625
SBD;43;0.19786038389781696;0;95535;63231
P-ES;44;0.09661439157054055;0;90134;59506
P-MRO;45;0.02289024365158683;0;100546;67672
QACM;46;0.09368082898355037;0;85660;59491
NC;542;0.02634116669240367;2;88880;58368
SBD;543;0.21941755079704456;0;94141;61481
P-ES;544;0.09257914280357381;0;87557;56898
P-MRO;545;0.02324970893450814;0;95538;62525
QACM;546;0.0978977931082013;1;91795;58783
NC;142;0.02536504802789045;0;100596;66553
SBD;143;0.1952849824254003;0;106191;66544
P-ES;144;0.09505618699083787;0;89998;60284
P-MRO;145;0.022000678162321617;0;86225;59216
QACM;146;0.09110224895563816;1;106697;69562
NC;942;0.02647938024867248;1;87671;57761
SBD;943;0.17007421241575313;0;88942;58881
P-ES;944;0.09613147782420557;0;85397;57485
P-MRO;945;0.023022200203236996;0;96270;64645
QACM;946;0.09347390137667479;1;91488;60923
NC;1442;0.024887419224055494;0;94325;60219
SBD;1443;0.21622351644190932;0;86503;57168
P-ES;1444;0.10100954880344927;0;94911;62035
P-MRO;1445;0.022053661368260428;0;97751;63167
QACM;1446;0.09316592963362913;0;92085;61823
NC;1342;0.02520306869636108;0;98488;67297
SBD;1343;0.200480048738026;0;91847;62704
P-ES;1344;0.0876891054643873;0;89461;58751
P-MRO;1345;0.02158643648059363;0;91198;60608
QACM;1346;0.09758137779721429;1;93067;61500
NC;1242;0.024992889340614513;0;97262;67755
SBD;1243;0.19960804997602447;0;100041;65634
P-ES;1244;0.09400081781383615;0;95731;63181
P-MRO;1245;0.01978707907391206;0;88689;60390
QACM;1246;0.09327374701265113;0;85941;56514
NC;1042;0.024999035510753474;0;98563;65585
SBD;1043;0.20178264585065028;0;98403;66469
P-ES;1044;0.09152603901307052;0;92100;62340
P-MRO;1045;0.02173934341039712;0;93586;61346
QACM;1046;0.09498260330050255;0;95216;63369
NC;1542;0.02638635901930874;0;85671;56986
SBD;1543;0.2049218201909153;0;93151;61612
P-ES;1544;0.09186277010615228;1;95178;64887
P-MRO;1545;0.020537136550563734;0;96236;65149
QACM;1546;0.09547698313325659;1;87757;59743
