time,current bs,user,conn_sinr,x pos,y pos
36.25,7,230,-6.224564007975,2637.758999832299,250.254742638424
38.9,9,326,-7.012124107979,-81.934951251489,1150.832741192869
45.65,9,248,-10.123164436649,-10.316529119876,817.506367972735
45.7,11,200,-6.080251092594,2091.275794042828,816.383616465715
47.8,6,40,-7.096019315519,1612.269014772023,-31.243635208734
56.8,4,60,-7.790041567972,-791.793104008728,47.508994801612
56.9,6,142,-7.614789148738,1345.391682813471,-0.4935845969
56.95,8,278,-8.2375998615,-926.287459930187,1084.248674509194
57.0,7,307,-6.501728076028,2605.312254042144,-32.297000216985
68.75,2,137,-7.582821800437,827.010151964396,-831.344538840489
81.5,1,207,-7.82467195383,80.7494264942,-936.809610843987
90.75,2,105,-7.6583481165,829.021578293815,-715.467660949588
92.3,14,237,-7.563928458109,401.33160488062,1672.96336552074
94.4,14,344,-7.346550948652,636.841829116233,1780.355835001571
100.4,6,68,-6.348133130137,1631.110651617264,-18.097281838867
104.15,11,202,-6.10635433331,2152.289122367543,1164.682119029225
106.1,19,320,-7.188836920865,2158.977571570301,2933.140390093937
107.95,17,214,-7.854866763914,-212.657451325782,2826.053617650041
117.75,19,11,-7.594596212159,2084.166273505091,2621.631699611463
121.05,3,358,-6.260186911235,2250.785145530272,-862.896126514896
124.75,19,166,-7.370334265445,1995.865603995764,2957.456246631246
125.2,14,221,-7.563684292158,334.178232861844,1756.997352062689
133.75,15,295,-7.541727169967,1703.597685541805,1964.384642880827
137.55,18,330,-6.005747541826,844.06280906297,2674.465228962537
148.85,18,327,-7.719085615927,963.584187901749,2603.387858488377
153.05,9,78,-6.527162958172,-177.038219365125,903.140944605857
155.0,12,337,-7.37130868676,3258.589232751782,1033.022721239636
157.65,4,246,-7.320072115585,-600.284559018056,244.45452449556
165.2,16,294,-6.100628890733,2423.448134748812,1705.781930296591
165.25,1,207,-6.034965830794,58.448224101768,-958.529879701426
173.45,6,322,-10.400571484968,1655.963253208648,284.759201017902
173.5,13,334,-6.089569119053,-569.155813931374,1720.772038725653
177.15,3,333,-6.976243481646,2107.001991490311,-993.975725901226
178.85,7,194,-7.426258124499,2448.629858179146,-111.099685325805
179.6,8,33,-7.175757536022,-920.686675689646,1106.627249730362
183.85,5,224,-7.689374732407,707.846871105479,153.552887163655
188.45,11,343,-6.468732951094,2041.671270175853,810.946212558383
192.05,6,185,-7.956756247129,1481.561109152058,-52.846793283179
195.35,10,100,-7.7846133169,1145.963307950113,1078.585783882081
203.7,17,215,-6.047324941144,137.867975018218,2704.307954615397
204.1,13,350,-12.099273324344,-376.504719344578,1963.9230810747
205.75,13,17,-6.136450867829,-678.778789351223,2062.150773417187
220.6,6,240,-10.340536827371,1632.96864300624,246.577634948286
221.9,12,182,-7.809049725869,2977.619247781589,864.280646452595
223.95,12,111,-8.540551231576,3063.773978887685,1196.6182976645
227.95,10,234,-6.183840239542,1011.256477285524,844.177225899683
229.85,13,148,-6.170404809976,-565.117614151019,2088.691560312669
231.0,2,216,-6.798543822117,1041.187280647677,-942.823664696636
